Project ID,Transaction ID,2010 Census Tract,"Metro/Non-Metro, 2010 Census",Origination Year,Community Development Entity (CDE) Name,QLICI Amount,City,Standard_City,State,Standard_State,Zip Code,Purpose of Investment,QALICB Type,Multi-CDE,Multi-Tract QLICI
CA0485,1399,6037900806,Metropolitan,2009,Clearinghouse Community Development Financial Institution,"$10,068,800.00 ",Lancaster,Lancaster,CA,California,93534,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
CA0485,1400,6037900806,Metropolitan,2009,Clearinghouse Community Development Financial Institution,"$3,651,200.00 ",Lancaster,Lancaster,CA,California,93534,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
CA0486,1401,6111004305,Metropolitan,2013,"Wells Fargo Community Development Enterprises, Inc.","$340,883.00 ",Port Hueneme,Port Hueneme,CA,California,93041,Real Estate–Rehabilitation–Commercial,RE,YES,NO
CA0486,1402,6111004305,Metropolitan,2013,"Wells Fargo Community Development Enterprises, Inc.","$159,117.00 ",Port Hueneme,Port Hueneme,CA,California,93041,Real Estate–Rehabilitation–Commercial,RE,YES,NO
CA0486,1403,6111004305,Metropolitan,2013,"Wells Fargo Community Development Enterprises, Inc.","$2,863,414.00 ",Port Hueneme,Port Hueneme,CA,California,93044,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
CA0486,1404,6111004305,Metropolitan,2013,"Wells Fargo Community Development Enterprises, Inc.","$1,336,586.00 ",Port Hueneme,Port Hueneme,CA,California,93044,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
CA0486,1405,6111004305,Metropolitan,2013,"Wells Fargo Community Development Enterprises, Inc.","$340,883.00 ",Port Hueneme,Port Hueneme,CA,California,93041,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
CA0486,1406,6111004305,Metropolitan,2013,"Wells Fargo Community Development Enterprises, Inc.","$159,117.00 ",Port Hueneme,Port Hueneme,CA,California,93041,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
CA0486,1407,6111004305,Metropolitan,2013,"Wells Fargo Community Development Enterprises, Inc.","$2,863,414.00 ",Port Hueneme,Port Hueneme,CA,California,93041,Other Financing Purpose,CDE,YES,NO
CA0486,1408,6111004305,Metropolitan,2013,"Wells Fargo Community Development Enterprises, Inc.","$1,336,586.00 ",Port Hueneme,Port Hueneme,CA,California,93041,Other Financing Purpose,CDE,YES,NO
CA0486,1409,6111004305,Metropolitan,2013,"Wells Fargo Community Development Enterprises, Inc.","$340,883.00 ",Port Hueneme,Port Hueneme,CA,California,93041,Other Financing Purpose,CDE,YES,NO
CA0486,1410,6111004305,Metropolitan,2013,"Wells Fargo Community Development Enterprises, Inc.","$159,117.00 ",Port Hueneme,Port Hueneme,CA,California,93041,Other Financing Purpose,CDE,YES,NO
CA0486,1411,6111004305,Metropolitan,2013,Clearinghouse Community Development Financial Institution,"$5,982,838.00 ",Port Hueneme,Port Hueneme,CA,California,93041,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
CA0486,1412,6111004305,Metropolitan,2013,Clearinghouse Community Development Financial Institution,"$2,617,162.00 ",Port Hueneme,Port Hueneme,CA,California,93041,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
